id,search,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,advertised_asin_units,advertised_asin_sales,advertised_brand_units,advertised_brand_sales
16871,14976,11/30/19,6,1,0.166667,1.29,1.29,NULL,0,0,0,0,0,0,0,0,0
16872,11951,11/26/19,2,1,0.5,2.18,2.18,NULL,0,0,0,0,0,0,0,0,0
16873,16874,11/24/19,46,1,0.021739,0.7,0.7,NULL,0,0,0,0,0,0,0,0,0
16874,16875,11/29/19,13,1,0.076923,2.27,2.27,NULL,0,0,0,0,0,0,0,0,0
16875,11954,11/27/19,22,1,0.045455,0.89,0.89,NULL,0,0,0,0,0,0,0,0,0
16876,11954,11/29/19,234,1,0.004274,0.47,0.47,NULL,0,0,0,0,0,0,0,0,0
16877,16878,11/26/19,4,1,0.25,0.88,0.88,0.045502,0.2198,19.34,1,1,1,1,19.34,0,0
16878,16879,11/26/19,3,1,0.333333,0.83,0.83,NULL,0,0,0,0,0,0,0,0,0
16879,16880,11/29/19,21,1,0.047619,0.69,0.69,NULL,0,0,0,0,0,0,0,0,0
16880,16880,11/30/19,60,5,0.083333,1.16,5.82,0.150465,0.0665,38.68,2,2,0.4,2,38.68,0,0
16881,16882,11/29/19,1,1,1,0.92,0.92,0.04757,0.2102,19.34,1,1,1,1,19.34,0,0
16882,16883,11/28/19,9,1,0.111111,0.88,0.88,NULL,0,0,0,0,0,0,0,0,0
16883,16884,11/29/19,12,1,0.083333,1.55,1.55,NULL,0,0,0,0,0,0,0,0,0
16884,16885,11/25/19,8,1,0.125,1.31,1.31,NULL,0,0,0,0,0,0,0,0,0
