id,campaign,term,match_type
35959,13,hand soap foamer,Other Placements
12019,13,hand soap foamer,PHRASE
34393,13,hand soap foamer,Top of Search
12020,13,hand soap foamer bottle,EXACT
37833,13,hand soap foamer bottle,Other Placements
34397,13,hand soap foamer bottle,Top of Search
13852,13,hand soap foamer glass,BROAD
36861,13,hand soap foamer glass,Top of Search
12022,13,hand soap foaming,BROAD
12638,13,hand soap foaming,EXACT
34413,13,hand soap foaming,Other Placements
12029,13,hand soap foaming,PHRASE
34399,13,hand soap foaming,Top of Search
12036,13,hand soap foaming bottle,BROAD
34428,13,hand soap foaming bottle,Other Placements
13209,13,hand soap foaming bottle,PHRASE
34425,13,hand soap foaming bottle,Top of Search
12039,13,hand soap foaming dispenser,BROAD
12647,13,hand soap foaming dispenser,EXACT
39430,13,hand soap foaming dispenser,Other Placements
12040,13,hand soap foaming dispenser,PHRASE
34429,13,hand soap foaming dispenser,Top of Search
12042,13,hand soap foaming refill,BROAD
12048,13,hand soap foaming refill,EXACT
34443,13,hand soap foaming refill,Other Placements
12049,13,hand soap foaming refill,PHRASE
34432,13,hand soap foaming refill,Top of Search
12055,13,hand soap foaming refill method,BROAD
34446,13,hand soap foaming refill method,Other Placements
12058,13,hand soap foaming watkins,BROAD
34449,13,hand soap foaming watkins,Other Placements
35997,13,hand soap foaming watkins,Top of Search
14563,13,hand soap prime pantry,BROAD
37876,13,hand soap prime pantry,Top of Search
16803,13,hand soap prime pantry method,BROAD
41380,13,hand soap prime pantry method,Top of Search
12667,13,hand soap prime pantry mrs meyers,BROAD
35234,13,hand soap prime pantry mrs meyers,Top of Search
12671,13,hand soap prime pantry seventh generation,BROAD
35238,13,hand soap prime pantry seventh generation,Top of Search
12062,13,hand soap refill,BROAD
12069,13,hand soap refill,EXACT
34474,13,hand soap refill,Other Placements
12076,13,hand soap refill,PHRASE
34453,13,hand soap refill,Top of Search
12697,13,hand soap refill antibacterial,BROAD
12083,13,hand soap refill antibacterial,EXACT
34486,13,hand soap refill antibacterial,Other Placements
12084,13,hand soap refill antibacterial,PHRASE
34483,13,hand soap refill antibacterial,Top of Search
12086,13,hand soap refill antibacterial dial,BROAD
34487,13,hand soap refill antibacterial dial,Other Placements
12092,13,hand soap refill antibacterial foam,BROAD
16843,13,hand soap refill antibacterial foam,EXACT
34495,13,hand soap refill antibacterial foam,Other Placements
34493,13,hand soap refill antibacterial foam,Top of Search
